"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","walk","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly"
"Profar, Jurickson","595777","2023","459","521","111","73","27","2","9","90","50","6","0","0","5"
"Calhoun, Kole","594777","2023","157","174","34","21","7","0","6","37","13","2","0","0","2"
"Meneses, Joey","608841","2023","611","657","168","118","36","1","13","130","38","5","0","0","3"
"Yastrzemski, Mike","573262","2023","330","381","77","38","23","1","15","99","45","3","3","2","1"
"Davis, J.D.","605204","2023","480","546","119","77","23","1","18","152","52","6","0","0","6"
"Reynolds, Bryan","668804","2023","574","640","151","91","31","5","24","138","53","7","2","0","6"
"Steer, Spencer","668715","2023","582","665","158","95","37","3","23","139","68","11","0","0","4"
"Hernández, Enrique","571771","2023","465","508","110","76","23","0","11","97","34","3","1","0","6"
"Fletcher, David","664058","2023","89","97","22","19","1","0","2","9","7","0","1","1","0"
"Ford, Mike","645801","2023","219","251","50","28","6","0","16","81","24","7","0","0","1"
"Pillar, Kevin","607680","2023","197","206","45","26","10","0","9","50","6","0","0","0","3"
"Alu, Jake","666906","2023","159","175","36","31","2","1","2","42","10","3","0","1","2"
"Yelich, Christian","592885","2023","550","632","153","99","34","1","19","140","78","3","7","0","1"
"Frazier, Adam","624428","2023","412","455","99","63","21","2","13","68","32","4","0","4","2"
"Velázquez, Nelson","676369","2023","162","179","38","15","6","0","17","51","14","2","0","0","1"
"DeJong, Paul","657557","2023","372","400","77","50","13","0","14","121","21","5","0","0","2"
"Kiermaier, Kevin","595281","2023","370","408","98","63","21","6","8","86","29","4","0","1","4"
"Witt Jr., Bobby","677951","2023","641","694","177","108","28","11","30","121","40","4","1","1","8"
"Crawford, Brandon","543063","2023","283","320","55","36","11","1","7","81","28","4","1","1","4"
"Kieboom, Carter","666198","2023","87","94","18","12","2","0","4","27","6","1","0","0","0"
"Castellanos, Nick","592206","2023","626","671","170","102","37","2","29","185","36","3","0","0","6"
"Moustakas, Mike","519058","2023","352","386","87","60","15","0","12","95","23","3","1","0","8"
"Duran, Jarren","680776","2023","332","362","98","54","34","2","8","90","24","3","1","0","2"
"Julks, Corey","667452","2023","298","323","73","53","14","0","6","75","22","1","0","0","2"
"Caratini, Victor","605170","2023","201","226","52","41","4","0","7","45","19","3","0","0","3"
"Thomas, Lane","657041","2023","628","682","168","101","36","3","28","176","36","11","0","0","7"
"Trevino, Jose","624431","2023","157","168","33","25","4","0","4","22","8","2","0","1","0"
"Hedges, Austin","595978","2023","185","212","34","28","5","0","1","47","11","2","0","10","3"
"Bader, Harrison","664056","2023","319","344","74","53","12","2","7","59","17","3","0","1","4"
"Zunino, Mike","572287","2023","124","140","22","12","7","0","3","61","15","1","0","0","0"
"France, Ty","664034","2023","587","665","147","103","32","0","12","117","43","34","0","0","1"
"Peguero, Liover","678894","2023","198","213","47","35","4","1","7","67","11","1","0","2","1"
"Burleson, Alec","676475","2023","315","347","77","48","20","1","8","45","23","3","0","1","2"
"Soler, Jorge","624585","2023","504","580","126","66","24","0","36","141","66","6","4","0","4"
